module,region,country_iso3,classification,provider_source_class,reader_endpoint,basis
Conflict,EAST_AFRICA,UGA,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,AUT,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,BEL,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,BGR,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,HRV,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,CYP,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,CZE,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,DNK,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,EST,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,FIN,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,FRA,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,DEU,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,GRC,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,HUN,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,IRL,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,ITA,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,LVA,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,LTU,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,LUX,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,MLT,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,NLD,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,POL,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,PRT,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,ROU,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,SVK,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,SVN,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,ESP,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EU27,SWE,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,BHR,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,EGY,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,IRN,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,IRQ,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,ISR,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,JOR,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,KWT,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,LBN,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,OMN,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,PSE,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,QAT,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,SAU,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,SYR,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,TUR,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,ARE,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,MIDDLE_EAST,YEM,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Energy,EAST_AFRICA,BDI,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EAST_AFRICA,COD,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EAST_AFRICA,DJI,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EAST_AFRICA,ERI,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EAST_AFRICA,ETH,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EAST_AFRICA,KEN,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EAST_AFRICA,RWA,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EAST_AFRICA,SOM,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EAST_AFRICA,SSD,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EAST_AFRICA,TZA,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EAST_AFRICA,UGA,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,AUT,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,BEL,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,BGR,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,HRV,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,CYP,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,CZE,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,DNK,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,EST,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,FIN,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,FRA,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,DEU,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,GRC,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,HUN,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,IRL,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,ITA,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,LVA,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,LTU,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,LUX,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,MLT,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,NLD,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,POL,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,PRT,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,ROU,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,SVK,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,SVN,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,EU27,ESP,DATA_AVAILABLE,"Eurostat PEM","GET /energy/observations","geo pinned to ES; net electricity generation retained"
Energy,EU27,SWE,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,BHR,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,EGY,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,IRN,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,IRQ,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,ISR,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,JOR,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,KWT,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,LBN,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,OMN,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,PSE,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,QAT,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,SAU,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,SYR,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,TUR,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,ARE,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Energy,MIDDLE_EAST,YEM,COVERAGE_GAP,"Eurostat PEM","GET /energy/observations","energy-eurostat-pem.ts pins geo=ES and throws GEO_DRIFT for any other geography"
Market,EAST_AFRICA,BDI,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EAST_AFRICA,COD,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EAST_AFRICA,DJI,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EAST_AFRICA,ERI,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EAST_AFRICA,ETH,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EAST_AFRICA,KEN,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EAST_AFRICA,RWA,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EAST_AFRICA,SOM,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EAST_AFRICA,SSD,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EAST_AFRICA,TZA,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EAST_AFRICA,UGA,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EU27,AUT,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EU27,BEL,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EU27,BGR,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EU27,HRV,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EU27,CYP,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EU27,CZE,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EU27,DNK,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EU27,EST,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EU27,FIN,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
Market,EU27,FRA,COVERAGE_GAP,"TED procurement notices","GET /market/... (market-read.controller.ts)","ted-procurement-retained.ts refuses any notice whose buyer-country is not exactly POL"
